id,artifact_id,version,path,full_name
197,libfb303,0.9.3,hdfs://adc-data-hadoop/user/data_admin/Data_deps/libfb303-0.9.3.jar,libfb303-0.9.3.jar
198,libthrift,0.12.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/libthrift-0.12.0.jar,libthrift-0.12.0.jar
199,livy-api,0.6.0-incubating,hdfs://adc-data-hadoop/user/data_admin/Data_deps/livy-api-0.6.0-incubating.jar,livy-api-0.6.0-incubating.jar
200,livy-client-http,0.6.0-incubating,hdfs://adc-data-hadoop/user/data_admin/Data_deps/livy-client-http-0.6.0-incubating.jar,livy-client-http-0.6.0-incubating.jar
201,log4j,1.2.17,hdfs://adc-data-hadoop/user/data_admin/Data_deps/log4j-1.2.17.jar,log4j-1.2.17.jar
202,log4j-api,2.11.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/log4j-api-2.11.0.jar,log4j-api-2.11.0.jar
203,log4j-core,2.11.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/log4j-core-2.11.0.jar,log4j-core-2.11.0.jar
204,luaj-jse,3.0.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/luaj-jse-3.0.1.jar,luaj-jse-3.0.1.jar
205,lz4,1.3.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/lz4-1.3.0.jar,lz4-1.3.0.jar
206,lz4-java,1.8.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/lz4-java-1.8.0.jar,lz4-java-1.8.0.jar
207,metrics-core-2.2.0,2.2.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/metrics-core-2.2.0.jar,metrics-core-2.2.0.jar
208,metrics-core-4.2.19,4.2.19,hdfs://adc-data-hadoop/user/data_admin/Data_deps/metrics-core-4.2.19.jar,metrics-core-4.2.19.jar
209,metrics-json,4.2.19,hdfs://adc-data-hadoop/user/data_admin/Data_deps/metrics-json-4.2.19.jar,metrics-json-4.2.19.jar
210,metrics-jvm,4.2.19,hdfs://adc-data-hadoop/user/data_admin/Data_deps/metrics-jvm-4.2.19.jar,metrics-jvm-4.2.19.jar
211,micrometer-commons,1.11.2,hdfs://adc-data-hadoop/user/data_admin/Data_deps/micrometer-commons-1.11.2.jar,micrometer-commons-1.11.2.jar
212,micrometer-core,1.11.2,hdfs://adc-data-hadoop/user/data_admin/Data_deps/micrometer-core-1.11.2.jar,micrometer-core-1.11.2.jar
213,micrometer-observation,1.11.2,hdfs://adc-data-hadoop/user/data_admin/Data_deps/micrometer-observation-1.11.2.jar,micrometer-observation-1.11.2.jar
214,micrometer-registry-prometheus,1.11.2,hdfs://adc-data-hadoop/user/data_admin/Data_deps/micrometer-registry-prometheus-1.11.2.jar,micrometer-registry-prometheus-1.11.2.jar
215,mockito-all,1.9.5,hdfs://adc-data-hadoop/user/data_admin/Data_deps/mockito-all-1.9.5.jar,mockito-all-1.9.5.jar
216,mockito-core,1.9.5,hdfs://adc-data-hadoop/user/data_admin/Data_deps/mockito-core-1.9.5.jar,mockito-core-1.9.5.jar
217,mssql-jdbc,7.4.1.jre8,hdfs://adc-data-hadoop/user/data_admin/Data_deps/mssql-jdbc-7.4.1.jre8.jar,mssql-jdbc-7.4.1.jre8.jar
218,mysql-connector-java,8.0.17,hdfs://adc-data-hadoop/user/data_admin/Data_deps/mysql-connector-java-8.0.17.jar,mysql-connector-java-8.0.17.jar
219,nimbus-jose-jwt-7.9,7.9,hdfs://adc-data-hadoop/user/data_admin/Data_deps/nimbus-jose-jwt-7.9.jar,nimbus-jose-jwt-7.9.jar
220,nimbus-jose-jwt-9.8.1,9.8.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/nimbus-jose-jwt-9.8.1.jar,nimbus-jose-jwt-9.8.1.jar
221,objenesis,1.3,hdfs://adc-data-hadoop/user/data_admin/Data_deps/objenesis-1.3.jar,objenesis-1.3.jar
222,opencsv,2.3,hdfs://adc-data-hadoop/user/data_admin/Data_deps/opencsv-2.3.jar,opencsv-2.3.jar
223,opentelemetry-api,1.15.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/opentelemetry-api-1.15.0.jar,opentelemetry-api-1.15.0.jar
224,opentelemetry-context,1.15.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/opentelemetry-context-1.15.0.jar,opentelemetry-context-1.15.0.jar
225,opentelemetry-semconv,1.15.0-alpha,hdfs://adc-data-hadoop/user/data_admin/Data_deps/opentelemetry-semconv-1.15.0-alpha.jar,opentelemetry-semconv-1.15.0-alpha.jar
226,pluto-codec,1.2.2,hdfs://adc-data-hadoop/user/data_admin/Data_deps/pluto-codec-1.2.2.jar,pluto-codec-1.2.2.jar
227,protobuf-java,2.5.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/protobuf-java-2.5.0.jar,protobuf-java-2.5.0.jar
228,re2j,1.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/re2j-1.1.jar,re2j-1.1.jar
229,reload4j,1.2.22,hdfs://adc-data-hadoop/user/data_admin/Data_deps/reload4j-1.2.22.jar,reload4j-1.2.22.jar
230,scala-library,2.12.18,hdfs://adc-data-hadoop/user/data_admin/Data_deps/scala-library-2.12.18.jar,scala-library-2.12.18.jar
231,scala-parser-combinators_2.11,1.0.4,hdfs://adc-data-hadoop/user/data_admin/Data_deps/scala-parser-combinators_2.11-1.0.4.jar,scala-parser-combinators_2.11-1.0.4.jar
232,scala-reflect,2.12.18,hdfs://adc-data-hadoop/user/data_admin/Data_deps/scala-reflect-2.12.18.jar,scala-reflect-2.12.18.jar
233,scala-xml_2.12,2.1.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/scala-xml_2.12-2.1.0.jar,scala-xml_2.12-2.1.0.jar
234,scalactic_2.12,3.1.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/scalactic_2.12-3.1.1.jar,scalactic_2.12-3.1.1.jar
235,scalatest_2.12,3.1.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/scalatest_2.12-3.1.1.jar,scalatest_2.12-3.1.1.jar
236,schema,1.0.14,hdfs://adc-data-hadoop/user/data_admin/Data_deps/schema-1.0.14.jar,schema-1.0.14.jar
237,schema-store,1.0.14,hdfs://adc-data-hadoop/user/data_admin/Data_deps/schema-store-1.0.14.jar,schema-store-1.0.14.jar
238,simpleclient,0.16.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/simpleclient-0.16.0.jar,simpleclient-0.16.0.jar
239,simpleclient_common,0.16.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/simpleclient_common-0.16.0.jar,simpleclient_common-0.16.0.jar
240,simpleclient_pushgateway,0.16.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/simpleclient_pushgateway-0.16.0.jar,simpleclient_pushgateway-0.16.0.jar
241,simpleclient_tracer_common,0.16.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/simpleclient_tracer_common-0.16.0.jar,simpleclient_tracer_common-0.16.0.jar
242,simpleclient_tracer_otel,0.16.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/simpleclient_tracer_otel-0.16.0.jar,simpleclient_tracer_otel-0.16.0.jar
243,simpleclient_tracer_otel_agent,0.16.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/simpleclient_tracer_otel_agent-0.16.0.jar,simpleclient_tracer_otel_agent-0.16.0.jar
244,slf4j-api-1.7.30,1.7.30,hdfs://adc-data-hadoop/user/data_admin/Data_deps/slf4j-api-1.7.30.jar,slf4j-api-1.7.30.jar
245,slf4j-api-1.7.33,1.7.33,hdfs://adc-data-hadoop/user/data_admin/Data_deps/slf4j-api-1.7.33.jar,slf4j-api-1.7.33.jar
246,slf4j-api-1.7.36,1.7.36,hdfs://adc-data-hadoop/user/data_admin/Data_deps/slf4j-api-1.7.36.jar,slf4j-api-1.7.36.jar
247,slf4j-log4j12,1.7.25,hdfs://adc-data-hadoop/user/data_admin/Data_deps/slf4j-log4j12-1.7.25.jar,slf4j-log4j12-1.7.25.jar
248,slf4j-reload4j,1.7.36,hdfs://adc-data-hadoop/user/data_admin/Data_deps/slf4j-reload4j-1.7.36.jar,slf4j-reload4j-1.7.36.jar
249,snakeyaml,1.10,hdfs://adc-data-hadoop/user/data_admin/Data_deps/snakeyaml-1.10.jar,snakeyaml-1.10.jar
250,snappy-java-1.1.10.3,1.1.10.3,hdfs://adc-data-hadoop/user/data_admin/Data_deps/snappy-java-1.1.10.3.jar,snappy-java-1.1.10.3.jar
251,snappy-java-1.1.7.3,1.1.7.3,hdfs://adc-data-hadoop/user/data_admin/Data_deps/snappy-java-1.1.7.3.jar,snappy-java-1.1.7.3.jar
252,snappy-java-1.1.8.4,1.1.8.4,hdfs://adc-data-hadoop/user/data_admin/Data_deps/snappy-java-1.1.8.4.jar,snappy-java-1.1.8.4.jar
253,spark-aes-etl,1.0.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/spark-aes-etl-1.0.1.jar,spark-aes-etl-1.0.1.jar
254,spark-bigquery-with-dependencies_2.12,0.27.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/spark-bigquery-with-dependencies_2.12-0.27.1.jar,spark-bigquery-with-dependencies_2.12-0.27.1.jar
255,spark-hive_2.12,3.5.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/spark-hive_2.12-3.5.0.jar,spark-hive_2.12-3.5.0.jar
256,spark-sql-kafka-0-10_2.12,3.5.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/spark-sql-kafka-0-10_2.12-3.5.0.jar,spark-sql-kafka-0-10_2.12-3.5.0.jar
257,spark-streaming-kafka-0-10_2.12,3.5.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/spark-streaming-kafka-0-10_2.12-3.5.0.jar,spark-streaming-kafka-0-10_2.12-3.5.0.jar
258,spark-tags_2.12,3.5.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/spark-tags_2.12-3.5.0.jar,spark-tags_2.12-3.5.0.jar
259,spark-token-provider-kafka-0-10_2.12,3.5.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/spark-token-provider-kafka-0-10_2.12-3.5.0.jar,spark-token-provider-kafka-0-10_2.12-3.5.0.jar
260,stax-api-1.0-2,1.0-2,hdfs://adc-data-hadoop/user/data_admin/Data_deps/stax-api-1.0-2.jar,stax-api-1.0-2.jar
261,stax-api-1.0.1,1.0.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/stax-api-1.0.1.jar,stax-api-1.0.1.jar
262,stax2-api,4.2.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/stax2-api-4.2.1.jar,stax2-api-4.2.1.jar
263,token-provider,1.0.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/token-provider-1.0.1.jar,token-provider-1.0.1.jar
264,tomcat-jdbc,8.0.5,hdfs://adc-data-hadoop/user/data_admin/Data_deps/tomcat-jdbc-8.0.5.jar,tomcat-jdbc-8.0.5.jar
265,tomcat-juli,8.0.5,hdfs://adc-data-hadoop/user/data_admin/Data_deps/tomcat-juli-8.0.5.jar,tomcat-juli-8.0.5.jar
266,transaction-api,1.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/transaction-api-1.1.jar,transaction-api-1.1.jar
267,ua-parser,1.3.2-dependencies,hdfs://adc-data-hadoop/user/data_admin/Data_deps/ua-parser-1.3.2-dependencies.jar,ua-parser-1.3.2-dependencies.jar
268,velocity,1.5,hdfs://adc-data-hadoop/user/data_admin/Data_deps/velocity-1.5.jar,velocity-1.5.jar
269,woodstox-core,5.3.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/woodstox-core-5.3.0.jar,woodstox-core-5.3.0.jar
270,xz,1.9,hdfs://adc-data-hadoop/user/data_admin/Data_deps/xz-1.9.jar,xz-1.9.jar
271,zkclient,0.8,hdfs://adc-data-hadoop/user/data_admin/Data_deps/zkclient-0.8.jar,zkclient-0.8.jar
272,zookeeper,3.6.3,hdfs://adc-data-hadoop/user/data_admin/Data_deps/zookeeper-3.6.3.jar,zookeeper-3.6.3.jar
273,zookeeper-jute,3.6.3,hdfs://adc-data-hadoop/user/data_admin/Data_deps/zookeeper-jute-3.6.3.jar,zookeeper-jute-3.6.3.jar
274,zstd-jni,1.5.5-4,hdfs://adc-data-hadoop/user/data_admin/Data_deps/zstd-jni-1.5.5-4.jar,zstd-jni-1.5.5-4.jar
275,spark-sql-patch,3.0,hdfs://nameservice1/user/data_admin/hadoop-styx/spark-sql-patch-3.0.jar,spark-sql-patch-3.0.jar
